node_a	node_b	arm	label_a	label_b
25112889	6379650#1	arm1	flankL	flankL
6379650#1	6379650#2	arm1	flankL	NC_062999_HD1
6379650#2	16815708	arm1	NC_062999_HD1	
16815708	16815702	arm1		
16815702	25974948	arm1		
25974948	32614825	arm1		
32614825	22454038	arm1		
22454038	27075157	arm1		
27075157	214693	arm1		
214693	214687	arm1		
214687	11519633	arm1		
11519633	32969171	arm1		
32969171	25820398	arm1		
25820398	7577624	arm1		
7577624	19337768#1	arm1		NC_062999_HD2
19337768#1	19337768#2	arm1	NC_062999_HD2	flankR
19337768#2	26008282	arm1	flankR	flankR
25112889	1658849	arm2	flankL	flankL
1658849	6549982	arm2	flankL	NC_062999_HD1
6549982	791121	arm2	NC_062999_HD1	flankR
791121	26008282	arm2	flankR	flankR
