node_a	node_b	arm	label_a	label_b
20848525	7126749#4	arm1	flankL	flankL
7126749#4	7126749#3	arm1	flankL	NC_062999_HD1
7126749#3	7126749#2	arm1	NC_062999_HD1	NC_062999_HD2
7126749#2	7126749#1	arm1	NC_062999_HD2	flankR
7126749#1	12784011	arm1	flankR	flankR
20848525	6990633#1	arm2	flankL	flankL
6990633#1	6990633#2	arm2	flankL	NC_062999_HD1
6990633#2	6990605	arm2	NC_062999_HD1	
6990605	6990611	arm2		
6990611	13021155	arm2		
13021155	1222084	arm2		
1222084	6311815	arm2		
6311815	6311809	arm2		
6311809	10512699#1	arm2		NC_062999_HD2
10512699#1	10512699#2	arm2	NC_062999_HD2	flankR
10512699#2	12784011	arm2	flankR	flankR
