node_a	node_b	arm	label_a	label_b
4732856	11762284#2	arm1	flankL	flankL
11762284#2	11762284#1	arm1	flankL	NC_062999_HD1
11762284#1	4453941	arm1	NC_062999_HD1	
4453941	12164011	arm1		
12164011	11493834	arm1		
11493834	4537190	arm1		
4537190	12041061	arm1		
12041061	4567694	arm1		
4567694	9077212	arm1		
9077212	16683727	arm1		
16683727	2843324#1	arm1		NC_062999_HD2
2843324#1	2843324#2	arm1	NC_062999_HD2	flankR
2843324#2	4312134	arm1	flankR	flankR
4732856	3820823	arm2	flankL	flankL
3820823	2883838	arm2	flankL	NC_062999_HD1
2883838	7291237	arm2	NC_062999_HD1	flankR
7291237	4312134	arm2	flankR	flankR
