node_a	node_b	arm	label_a	label_b
18411	37630272	arm1	flankL	
37630272	37594883#3	arm1		NC_062999_HD1
37594883#3	37594883#2	arm1	NC_062999_HD1	NC_062999_HD2
37594883#2	37594883#1	arm1	NC_062999_HD2	flankR
37594883#1	39109504	arm1	flankR	flankR
18411	37630270	arm2	flankL	flankL
37630270	38196809	arm2	flankL	NC_062999_HD1
38196809	39082284	arm2	NC_062999_HD1	
39082284	38196799	arm2		
38196799	17733193	arm2		
17733193	39116708	arm2		
39116708	3199271	arm2		
3199271	14290026	arm2		NC_062999_HD2
14290026	37594881	arm2	NC_062999_HD2	
37594881	1110024	arm2		
1110024	39109504	arm2		flankR
